,N° Pilone,Cronometro 1,Cronometro 2,Cronometro 3,istante_di_tempo,intervallo_di_tempo,posizione,spostamento,velocità
0,0,0.0,0.0,0.0,(0.0±0.0)s,(0.0±0.0)s,(0±0.0)m,(0.0±0.0)m,(nan±nan)m/s
1,1,4.39,5.72,4.47,(5.05±0.66)s,(5.05±0.66)s,(1±0.01)m,(1.0±0.01)m,(0.2±0.03)m/s
2,2,13.05,13.92,13.67,(13.48±0.43)s,(8.43±1.09)s,(2±0.01)m,(1.0±0.02)m,(0.12±0.02)m/s
3,3,18.31,18.9,18.87,(18.6±0.29)s,(5.12±0.72)s,(3±0.01)m,(1.0±0.02)m,(0.2±0.03)m/s
4,4,21.03,21.22,21.72,(21.37±0.34)s,(2.77±0.63)s,(4±0.01)m,(1.0±0.02)m,(0.36±0.09)m/s
5,5,30.29,30.21,30.27,(30.25±0.04)s,(8.88±0.38)s,(5±0.01)m,(1.0±0.02)m,(0.11±0.01)m/s
