,N° Pilone,Cronometro 1,Cronometro 2,Cronometro 3,istante_di_tempo,intervallo_di_tempo,posizione,spostamento,velocità
0,0,0.0,0.0,0.0,(0.0±0.0)s,(0.0±0.0)s,(0±0.0)m,(0.0±0.0)m,(nan±nan)m/s
1,1,5.7,5.76,5.72,(5.73±0.03)s,(5.73±0.03)s,(1±0.01)m,(1.0±0.01)m,(0.17±0.0)m/s
2,2,10.64,10.5,10.44,(10.54±0.1)s,(4.81±0.13)s,(2±0.01)m,(1.0±0.02)m,(0.21±0.01)m/s
3,3,15.7,15.74,15.76,(15.73±0.03)s,(5.19±0.13)s,(3±0.01)m,(1.0±0.02)m,(0.19±0.01)m/s
4,5,26.51,26.66,26.88,(26.69±0.18)s,(10.96±0.21)s,(5±0.01)m,(2.0±0.02)m,(0.18±0.0)m/s
5,7,38.62,38.49,38.43,(38.52±0.09)s,(11.83±0.27)s,(7±0.01)m,(2.0±0.02)m,(0.17±0.01)m/s
6,8,36.34,36.25,34.36,(35.35±0.99)s,(-3.17±1.08)s,(8±0.01)m,(1.0±0.02)m,(-0.32±0.1)m/s
7,9,49.68,49.8,49.95,(49.82±0.14)s,(14.47±1.13)s,(9±0.01)m,(1.0±0.02)m,(0.07±0.01)m/s
