,N° Pilone,Cronometro 1,Cronometro 2,Cronometro 3,istante_di_tempo,intervallo_di_tempo,posizione,spostamento,velocità
0,0,0.0,0.0,0.0,(0.0±0.0)s,(0.0±0.0)s,(0±0.0)m,(0.0±0.0)m,(nan±nan)m/s
1,1,1.31,1.24,1.9,(1.57±0.33)s,(1.57±0.33)s,(1±0.01)m,(1.0±0.01)m,(0.64±0.14)m/s
2,2,2.45,2.3,2.05,(2.25±0.2)s,(0.68±0.53)s,(2±0.01)m,(1.0±0.02)m,(1.47±1.18)m/s
3,3,3.49,3.54,3.53,(3.51±0.02)s,(1.26±0.22)s,(3±0.01)m,(1.0±0.02)m,(0.79±0.15)m/s
4,4,4.23,4.46,4.57,(4.4±0.17)s,(0.89±0.19)s,(4±0.01)m,(1.0±0.02)m,(1.12±0.26)m/s
5,5,5.58,5.64,5.56,(5.6±0.04)s,(1.2±0.21)s,(5±0.01)m,(1.0±0.02)m,(0.83±0.16)m/s
