,N° Pilone,Cronometro 1,Cronometro 2,Cronometro 3,istante_di_tempo,intervallo_di_tempo,posizione,spostamento,velocità
0,0,0.0,0.0,0.0,(0.0±0.0)s,(0.0±0.0)s,(0±0.0)m,(0.0±0.0)m,(nan±nan)m/s
1,1,2.89,3.08,2.75,(2.92±0.17)s,(2.92±0.17)s,(1±0.01)m,(1.0±0.01)m,(0.34±0.02)m/s
2,2,5.9,5.48,5.82,(5.69±0.21)s,(2.77±0.38)s,(2±0.01)m,(1.0±0.02)m,(0.36±0.06)m/s
3,3,8.9,8.91,8.99,(8.94±0.04)s,(3.25±0.25)s,(3±0.01)m,(1.0±0.02)m,(0.31±0.03)m/s
4,4,11.92,11.34,11.99,(11.67±0.33)s,(2.73±0.37)s,(4±0.01)m,(1.0±0.02)m,(0.37±0.06)m/s
5,5,14.5,14.4,14.63,(14.52±0.12)s,(2.85±0.45)s,(5±0.01)m,(1.0±0.02)m,(0.35±0.06)m/s
