,N° Pilone,Cronometro 1,Cronometro 2,Cronometro 3,istante_di_tempo,intervallo_di_tempo,posizione,spostamento,velocità
0,2,0.0,0.0,0.0,(0.0±0.0)s,(0.0±0.0)s,(2±0.01)m,(0.0±0.0)m,(nan±nan)m/s
1,3,5.9,5.95,5.92,(5.92±0.02)s,(5.92±0.02)s,(3±0.01)m,(1.0±0.02)m,(0.17±0.0)m/s
2,4,11.4,11.4,12.42,(11.91±0.51)s,(5.99±0.53)s,(4±0.01)m,(1.0±0.02)m,(0.17±0.02)m/s
3,5,17.19,17.43,17.28,(17.31±0.12)s,(5.4±0.63)s,(5±0.01)m,(1.0±0.02)m,(0.19±0.02)m/s
