,N° Pilone,Cronometro 1,Cronometro 2,Cronometro 3,istante_di_tempo,intervallo_di_tempo,posizione,spostamento,velocità
0,0,0.0,0.0,0.0,(0.0±0.0)s,(0.0±0.0)s,(0±0.0)m,(0.0±0.0)m,(nan±nan)m/s
1,1,3.21,3.58,3.94,(3.57±0.36)s,(3.57±0.36)s,(1±0.01)m,(1.0±0.01)m,(0.28±0.03)m/s
2,2,7.45,7.33,6.7,(7.08±0.38)s,(3.51±0.74)s,(2±0.01)m,(1.0±0.02)m,(0.28±0.07)m/s
3,3,11.04,11.1,11.07,(11.07±0.03)s,(3.99±0.41)s,(3±0.01)m,(1.0±0.02)m,(0.25±0.03)m/s
4,4,13.68,14.9,14.61,(14.29±0.61)s,(3.22±0.64)s,(4±0.01)m,(1.0±0.02)m,(0.31±0.07)m/s
5,5,18.65,18.91,18.92,(18.79±0.14)s,(4.5±0.75)s,(5±0.01)m,(1.0±0.02)m,(0.22±0.04)m/s
